feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Christensenellaceae_R.7_group	group	nE	0.9999999997723	4.85636165808011e-06	114	8	8.16651273660702e-40	6.7455395204374e-37
Bifidobacterium	group	IgE	2.46067254751427	0.417681187161556	114	114	4.17551987673082e-08	1.14965980605989e-05
Parasutterella	group	nE	2.23650294948725	0.370786240527413	114	9	3.3265461124817e-08	1.14965980605989e-05
Enterococcus	group	IgE	1.98694857576889	0.437439000824898	114	112	1.62484706217877e-05	0.00335530918339916
Altererythrobacter	group	nE	0.62402846237957	0.135673865802163	114	5	3.8852307777751e-05	0.00641840124488446
Staphylococcus	group	IgE	1.51663201533924	0.382232767916441	114	45	0.000132770986859637	0.01827813919101
Lactobacillus	group	nE	4.98155132353124	1.32128171062485	114	105	0.000266784436132862	0.027545493030718
Pseudomonas	group	IgE	1.01783145026129	0.267849860709522	114	113	0.000244978737444932	0.027545493030718
Chujaibacter	group	nE	0.573595522610083	0.153847731870656	114	3	0.000320096532096237	0.0293777483901658
Escherichia.Shigella	group	IgE	-1.42900850474054	0.3930486361369	114	114	0.00044248769794957	0.0365494838506345
Rikenellaceae_RC9_gut_group	group	nE	1.77611108553967	0.496894803991198	114	25	0.00052104154429321	0.0373837495656078
R7C24	group	nE	0.200005092397705	0.0389954063866724	114	1	0.000543105320565731	0.0373837495656078
Burkholderia.Caballeronia.Paraburkholderia	group	nE	0.200007501089685	0.0389954053455604	114	1	0.000685681669144524	0.0377582039142251
Pontibacter	group	nE	0.200007501089685	0.0389954053455604	114	1	0.000685681669144524	0.0377582039142251
Caulobacter	group	nE	0.200007501089685	0.0389954053455604	114	1	0.000685681669144524	0.0377582039142251
Leucobacter	group	nE	2.25908196004261	0.656403246614904	114	23	0.000819564079834881	0.0423099956214757
F082	group	nE	0.710094795965983	0.18308663240949	114	9	0.000924873646832973	0.0424414240157797
Methylophaga	group	nE	0.568904488950402	0.142927371884745	114	7	0.000873892670473869	0.0424414240157797
Leptotrichia	group	nE	1.20397115697	0.358170612968421	114	6	0.00131204396113806	0.0570393848368441
Lactobacillus	group	IgE	1.78528655055839	0.5448774401487	114	105	0.00140900151149657	0.0581917624248082
Actinobacillus	group	nE	0.229484188991115	0.0686613385082047	114	2	0.00184244916211652	0.0724696670432497
Weissella	group	nE	-0.243525950349405	0.0733111336579641	114	3	0.00202176075743191	0.0759079266199437
Methylobacterium.Methylorubrum	group	nE	-0.227449888671062	0.0694126932494375	114	3	0.002446308718022	0.0878543913515725
Subgroup_2	group	nE	0.649021094731878	0.212239675663913	114	6	0.00279419615036337	0.0961669175083395
X.Eubacterium._siraeum_group	group	nE	0.924661595667616	0.30522921647524	114	8	0.00310385669654716	0.102551425253918
Intestinibacter	group	IgE	1.30868319811564	0.441748968641014	114	48	0.00386016348546152	0.112479416823169
Rahnella1	group	nE	2.94079790755599	0.994156136001388	114	57	0.00378356995585729	0.112479416823169
Mycoplasma	group	nE	0.272108566769788	0.0870158239616204	114	5	0.00394903521534129	0.112479416823169
Halospina	group	nE	0.452289739553544	0.153106410336122	114	4	0.0038315902477367	0.112479416823169
Akkermansia	group	nE	-1.5654813640721	5.15288030807616e-07	114	7	0.0047701692587071	0.123750240737827
Sphingobacterium	group	IgE	0.447222890416287	0.154616995971517	114	10	0.0047941981883904	0.123750240737827
Salmonella	group	nE	0.199994417411711	0.0389954064594203	114	1	0.00453607602111567	0.123750240737827
Corynebacterium	group	IgE	0.449111055849356	0.145153887850778	114	21	0.00523776211636115	0.131102772973161
Streptococcus	group	IgE	1.39106769702244	0.4921205889028	114	107	0.00560524431517253	0.136174464833309
Paeniclostridium	group	nE	0.203398563315542	0.0696765040978633	114	2	0.00601793260475082	0.142023209472119
Tsukamurella	group	IgE	0.110122470399856	0.0399083180658892	114	2	0.00682961366766714	0.156701691374807
Actinomyces	group	IgE	1.36163327810937	0.500957470312943	114	88	0.00774998860867493	0.173013259209878
Rothia	group	nE	3.13536672395935	1.15849987104282	114	57	0.00807486209197264	0.175522002314984
Comamonas	group	nE	2.9836747860279	1.13108704779646	114	74	0.0095581380435146	0.202436462152386
Muribaculum	group	nE	0.393045661459586	0.149833765371964	114	5	0.0100248769960401	0.207013709968228
S0134_terrestrial_group	group	IgE	0.119487700413537	0.0457762587556372	114	2	0.0110973654974854	0.223571314656657
Granulicatella	group	nE	1.96111768209326	0.763446573276299	114	44	0.011708381700381	0.230264840107494
Rikenellaceae_RC9_gut_group	group	IgE	0.520093592367313	0.204890997273323	114	25	0.0125285674406525	0.240665039673929
