feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bifidobacterium	group	IgE	-2.80388712061327	0.315914246718263	218	218	5.21428114383605e-16	4.74499584089081e-13
Lactobacillus	group	IgE	-2.40755362886583	0.449927272727967	218	206	2.53746281151976e-07	7.69697052827659e-05
Marinobacter	group	nE	0.238470861155817	0.04369321989839	218	7	1.77451655616735e-07	7.69697052827659e-05
Prevotella	group	nE	2.18139285877093	0.461582880464471	218	161	4.22677619825747e-06	0.000961591585103574
Enterococcus	group	IgE	-1.54987182047853	0.350654032652787	218	215	1.6680394624218e-05	0.00303583182160767
Bifidobacterium	group	nE	-1.50228214673104	0.406593092098008	218	218	0.000280338915354791	0.0342803829419936
Bilophila	group	IgE	-0.817068979441243	0.223477274659323	218	37	0.00032597750823219	0.0342803829419936
Paenibacillus	group	nE	0.558580815681269	0.150765237007133	218	10	0.000295748993442765	0.0342803829419936
Pontibacillus	group	nE	0.707119785459976	0.193730801638021	218	31	0.000339036754371365	0.0342803829419936
Aeromonas	group	nE	-0.95239753933874	0.270049166993131	218	41	0.000516136195211077	0.046968393764208
Streptococcus	group	IgE	-1.28234970755956	0.371074280621529	218	205	0.000675863406601856	0.0559123363643354
Helicobacter	group	IgE	-0.756883506617728	0.220791509481179	218	65	0.000745705440032747	0.0565493292024833
Ellin6067	group	nE	-0.0832869521698815	0.0231000229183795	218	8	0.000835155123975046	0.0584608586782532
Dialister	group	nE	1.13059283197913	0.34041810114208	218	63	0.00106473593814882	0.069207835979673
Aliifodinibius	group	nE	0.762949626570431	0.238025684310391	218	37	0.00155549955571964	0.0884690372315544
Mitsuokella	group	nE	0.389118227467754	0.121055842415808	218	11	0.00150860660976939	0.0884690372315544
Zoogloea	group	IgE	-0.398479459181573	0.127280831652111	218	16	0.00204838150399076	0.109648656978329
Coprobacillus	group	IgE	0.390735803295733	0.127232554757601	218	13	0.00249786660814547	0.126281034078465
Colidextribacter	group	IgE	-0.701271446572117	0.233432656991905	218	36	0.00300151513805951	0.143756777664955
Aeromonas	group	IgE	-0.615569694960057	0.212167370941289	218	41	0.00410406192662156	0.186734817661281
Clostridium_sensu_stricto_1	group	IgE	1.09479499149189	0.382095653699735	218	218	0.00458420652583131	0.197779862193828
Eggerthella	group	IgE	-1.49852100775098	0.525386797180877	218	122	0.00478149117391672	0.197779862193828
Comamonas	group	IgE	-1.20298090494609	0.425407036053233	218	152	0.00513883540736351	0.197965955515773
Rahnella1	group	IgE	-1.22667816453843	0.434617530864769	218	123	0.00522108014547094	0.197965955515773
GCA.900066575	group	IgE	-0.359875372907989	0.128578461174872	218	20	0.00564805196324367	0.20558909146207
Phenylobacterium	group	IgE	-0.295207422927915	0.106246348384233	218	13	0.00600223164411643	0.210078107544075
Serratia	group	IgE	-0.858180401135759	0.313035537762121	218	217	0.00667770996326961	0.223534394883549
Pseudomonas	group	IgE	-0.710538724328495	0.260073052229809	218	218	0.00687798138103228	0.223534394883549
UBA1819	group	IgE	1.32012728692507	0.489835105234483	218	113	0.00767653874444151	0.233132206387045
Gemella	group	IgE	-0.537231438197641	0.200709505798451	218	55	0.00805183612420959	0.233132206387045
Odoribacter	group	nE	-0.731142187374739	0.273858714954572	218	58	0.00818237245766906	0.233132206387045
Corynebacterium	group	nE	-0.58596926295525	0.219562504285353	218	46	0.00819805560921478	0.233132206387045
Escherichia.Shigella	group	IgE	0.856048660753269	0.329266569240909	218	218	0.0100290742564536	0.276559320405235
Muribaculaceae	group	IgE	-0.897433487745055	0.346589915796212	218	196	0.0104370326409937	0.279344108920715
Hungatella	group	IgE	1.2091504316696	0.472939876247987	218	118	0.0113034827469151	0.293890551419792
Dorea	group	IgE	0.311013714704937	0.123161173142079	218	7	0.012314049147633	0.3112717978985
Prevotellaceae_UCG.001	group	IgE	-0.610982167819278	0.243395515303668	218	88	0.0128970899545737	0.317198698882759
Actinomyces	group	IgE	-0.907724085007629	0.368620173719596	218	179	0.0147836451129301	0.328124806165034
Muribaculaceae	group	nE	-1.10767012796659	0.450080786769384	218	196	0.0146580952242657	0.328124806165034
Prevotellaceae_UCG.001	group	nE	-0.770442874693413	0.310965049909788	218	88	0.0140443466309702	0.328124806165034
Nitriliruptoraceae	group	IgE	-0.347223849838969	0.140536059121516	218	24	0.0146141001127041	0.328124806165034
Pontibacillus	group	IgE	0.362911719624236	0.147909600309873	218	31	0.0156876998768242	0.339900163997858
Lineage_IIa	group	IgE	-0.233081124549597	0.09656857563292	218	13	0.0166358515919137	0.352061045317243
Haemophilus	group	IgE	1.01377628326022	0.423799331535752	218	156	0.0177086467883353	0.36624701312239
Varibaculum	group	IgE	-0.557553755537675	0.239238463956034	218	31	0.0207136742634046	0.410631935478176
Bradymonadaceae	group	nE	0.256454560707947	0.11045982325718	218	18	0.0212084626016201	0.410631935478176
Subgroup_10	group	nE	-0.274437146370587	0.117812221172629	218	12	0.0207864346094712	0.410631935478176
Peptostreptococcus	group	IgE	-0.113420976248802	0.0474932717248364	218	5	0.0223006946892079	0.422784003482901
Incertae_Sedis	group	IgE	1.16337978952774	0.509458739989786	218	84	0.0233824609235947	0.427172657192212
Actinospica	group	IgE	-0.12451468082143	0.0545620649477636	218	5	0.0234710251204512	0.427172657192212
UCG.002	group	nE	0.575941661430605	0.254458949887579	218	31	0.024634021910148	0.439548234083032
Asaia	group	IgE	-0.786388771477884	0.348872598175754	218	213	0.0253157285150756	0.441177771284117
Candidatus_Koribacter	group	IgE	-0.246411515818205	0.109351786638258	218	18	0.0256949690967673	0.441177771284117
Blautia	group	IgE	-1.21175623580785	0.543754172832214	218	152	0.026938316372911	0.453960516654612
Enterobacter	group	IgE	0.695979288561048	0.327982704440998	218	215	0.0353268495460497	0.475183894837661
Lactobacillus	group	nE	-1.25857253335111	0.586134842627555	218	206	0.0329586290291524	0.475183894837661
Acinetobacter	group	IgE	-0.961892800735641	0.45097235571103	218	170	0.0342305732148892	0.475183894837661
uncultured	group	IgE	-0.791860972795302	0.362936617720719	218	160	0.0302806703442787	0.475183894837661
Corynebacterium	group	IgE	-0.361576917106313	0.170527794261046	218	46	0.035213308802386	0.475183894837661
Sphingomonas	group	IgE	-0.365165696512863	0.174383230539215	218	25	0.0374442967104571	0.475183894837661
Altererythrobacter	group	IgE	-0.282468206821926	0.134976257494531	218	17	0.0375969675036391	0.475183894837661
Porphyromonas	group	IgE	-0.314866963637298	0.144211333298358	218	24	0.0302206941761147	0.475183894837661
Methylophaga	group	nE	0.311055501791317	0.14826117489626	218	16	0.0372430326190546	0.475183894837661
GOUTB8	group	IgE	-0.20689399981585	0.0961221199389764	218	14	0.0335680378945068	0.475183894837661
Phenylobacterium	group	nE	-0.297218112833645	0.136760900082497	218	13	0.0308784946311673	0.475183894837661
Subgroup_10	group	IgE	-0.194973790385337	0.0907989096213786	218	12	0.0328936392550256	0.475183894837661
Treponema	group	nE	0.264593049665011	0.121934432587111	218	11	0.0311217210290761	0.475183894837661
X.Eubacterium._ventriosum_group	group	nE	-0.192213983660698	0.0895333415898627	218	8	0.0331204375659153	0.475183894837661
